street_name,neighborhood
200 Naglee Avenue,Outer Mission
0 McLaren Avenue,Sea Cliff
1100 Golden Gate Avenue,Western Addition
300 Hayes Street,Civic Center
100 Noe Street,The Castro
1100 Folsom Street,South of Market
300 Church Street,Mission District
700 Guerrero Street,Mission Dolores
1600 Church Street,Noe Valley
1500 Balboa Street,Richmond District
1300 Wright Loop,Presidio
400 Moraga Street,Sunset District
600 Panorama Drive,Midtown Terrace
0 Avoca Alley,West of Twin Peaks
1300 22nd Avenue,Sunset District
100 Font Boulevard,Lakeshore
200 3rd Avenue,Richmond District
8700 Mission Rock Street,South of Market
200 John F Kennedy Drive,Golden Gate Park
500 Peru Avenue,Excelsior
800 Bacon Street,Excelsior
0 Curtis Street,Crocker-Amazon
100 Murray Street,Bernal Heights
500 Brunswick Street,Crocker-Amazon
Historic Trail,Inner Sunset
1300 10th Avenue,Inner Sunset
1900 16th Avenue,Inner Sunset
200 Hyde Street,Tenderloin
200 Funston Road,Marina District
700 Haight Street,Lower Haight
0 The Embarcadero,North Beach
1400 Powell Street,Russian Hill
1100 Taylor Street,Nob Hill
200 Sutter Street,Financial District
900 Pine Street,Lower Nob Hill
200 O'Farrell Street,Tenderloin
800 Mission Street,South of Market
700 Folsom Street,South of Market
5th Street,Treasure Island
4700 18th Street,Eureka Valley
400 Burnett Avenue,Twin Peaks
3500 20th Street,Mission District
900 Sanchez Street,Dolores Heights
3900 25th Street,Noe Valley
600 28th Street,Noe Valley
100 Randall Street,Glen Park
2600 21st Street,Mission District
2900 24th Street,Mission District
0 Conkling Street,Silver Terrace
700 Bernal Heights Boulevard,Bernal Heights
100 Appleton Avenue,Bernal Heights
100 Morningside Drive,Lakeshore
300 Arballo Drive,Lakeshore
2200 47th Avenue,Sunset District
200 9th Avenue,Richmond District
300 26th Avenue,Central Richmond
800 Balboa Street,Richmond District
1800 32nd Avenue,Sunset District
0 Lopez Avenue,West of Twin Peaks
0 Rockaway Avenue,West of Twin Peaks
0 Majestic Avenue,Ingleside
200 Byxbee Street,Oceanview
100 Farallones Street,Oceanview
1800 25th Avenue,Sunset District
7100 Geary Boulevard,Richmond District
7700 Geary Boulevard,Richmond District
500 John Muir Drive,Lakeshore
1600 McKinnon Avenue,Bayview
1100 Carolina Street,Potrero Hill
Unnamed Road,
1500 Mansell Street,Visitacion Valley
700 Girard Street,Visitacion Valley
400 Delta Street,Visitacion Valley
300 Fremont Street,South of Market
2700 Larkin Street,Russian Hill
2100 Webster Street,Pacific Heights
1300 Webster Street,Western Addition
300 Waller Street,Western Addition
0 Duboce Avenue,South of Market
2800 Folsom Street,Mission District
100 Coleridge Street,Bernal Heights
100 Santa Rosa Avenue,Outer Mission
300 Lisbon Street,Excelsior
300 Argonaut Avenue,Visitacion Valley
400 Irving Street,Inner Sunset
100 Eastwood Drive,West of Twin Peaks
2600 40th Avenue,Sunset District
0 Mason Street,Tenderloin
West Point Road,Bayview
600 3rd Avenue,Richmond District
100 Octavia Street,Western Addition
2800 Mission Street,Mission District
500 22nd Street,Potrero Hill
1300 Montgomery Street,North Beach
200 Moncada Way,Oceanview
1700 47th Avenue,Sunset District
Diamond Cove Terrace,Bayview
400 Amador Street,Bayview
100 Shrader Street,San Francisco 2495
100 Diamond Street,The Castro
600 Tompkins Avenue,Bernal Heights
700 Rolph Street,Crocker-Amazon
400 Faxon Avenue,Ingleside
800 Cole Street,Ashbury Heights
2100 Beach Street,Marina District
100 West Portal Avenue,West of Twin Peaks
300 Langton Street,South of Market
1300 16th Avenue,Inner Sunset
400 Alpha Street,Visitacion Valley
Cochrane Street,Bayview
1300 Egbert Avenue,Bayview
100 Rutledge Street,Bernal Heights
1900 Buchanan Street,Western Addition
2200 Rivera Street,Sunset District
